            datetime country     shape
122              adelaide (pt. wakefield) (south australia)
123                                                 seattle
124                                       victoria (canada)
125                                              cincinnati
126                                                portland
127                                                 bahamas
128                           burnie (tasmania) (australia)
129                                             new buffulo
130                                                alhambra
131                                            indianapolis
132                                             centreville
133                                              grand view
134                                              temperance
135                                          crescent beach
136                                             albuquerque
137                  bickerton (near wetherby) (uk/england)
138                                                 gleason
139                                                  mahwah
140                                  worthington st. forest
141                             portage la prairie (canada)
142                                             terre haute
143                                            indianapolis
144                                          nobel (canada)
145                                              morgantown
146                                                berkeley
147                                             rock island
148                                   kedainiai (lithuania)
149                                              chateauqua
150                                                  ripley
151                                               faribault
152                                               mansfield
153                                                columbia
154                                                 gleason
155                                                 seattle
156                                         apache junction
157                                       north miami beach
158                                               edgewater
159                                             los angeles
160                                                 loretto
161                                      newtown (uk/wales)
162                                               lewisburg
163                                       north miami beach
164                                          east wenatchee
165                                          hendersonville
166                                                brainerd
167                                                franklin
168                                              pennington
169                                           san francisco
170                                             blairsville
171                                                savannah
172                                              waynesboro
173                                                  unsure
174                                                    bray
175                      plymouth (devonshire) (uk/england)
176                                                waycross
177                                               wolfforth
178                                               lyndhurst
179                                                    knik
180                                                 lebanon
181                                             stockbridge
182                                                  denver
183                                            jacksonville
184                                             bakersfield
185                                                   indio
186                                                   owego
187                                             downingtown
188                                                  austin
189                                 starrsville (covington)
190                                 west palm beach florida
191                                                 conyers
192                                              vero beach
193                                            jensen beach
194                                                 houston
195                                                  duluth
196                                                 fleming
197                                              grove city
198                                             van alstyne
199                                              northglenn
200                                          stord (norway)
201                                         london (canada)
202                                            north branch
203                                            slingerlands
204                                                  carlin
205                                              evansville
206                                                  albany
207                                     amarillo (hwy. 140)
208                                                 fremont
209                                                    yuma
210                                              south bend
211                                             la crescent
212                                           moon township
213                                            philadelphia
214                                                 seattle
215                                                  pueblo
216                                              cincinnati
217                                               san diego
218                                                 madison
219                                               coldwater
220                                               greenland
221                                           crested butte
222                                                   tulsa
223                                                   eagar
224                                                 suffolk
225                                                 anaheim
226                                              wilmington
227                                                leesburg
228                                       thief river falls
229                                           michigan city
230                                               cupertino
231                                            orchard park
232                                              harrisburg
233                                                  euclid
234                                                   starr
235                                              leominster
236                                               greenwich
237                                        north charleston
238                                   san francisco airport
239                                             springfield
240                                              bridgeport
241                                               clackamas
242                                              san angelo
243                                                 windsor
244                                                sterling
245                                                 everett
246                                              kykotsmovi
247                                                  albany
248                                            garden grove
249                                                   miami
250                                                 anaheim
 [ reached 'max' / getOption("max.print") -- omitted 88821 rows ]
> 
